web-scraper-order,web-scraper-start-url,article_link,article_link-href,détailes,Numbers_bed,numbers_SB,Superficies,adresse,Prix,image_link
"1732653927-354","https://www.expat-dakar.com/appartements-a-louer?page=88","Appartement  F5 à louer a la cité keur gorgui pour bureau
                                
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        23. sept., 11:27
                                    
                    800 000 F Cfa
                        
                        762425610","https://www.expat-dakar.com/annonce/appartement-f5-a-louer-a-la-cite-keur-gorgui-pour-bureau-6166630","Appartement  F5 à louer a la cité keur gorgui pour bureau","","","","Cité keur gorgui
            
                Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/be64f6e1b5b981eb273835d54d869fc9/-/horizon-files-prod/ed/picture/q8v4kzq9/0d51c77b59cbd1797f576aae109f0a0574f1fcde.jpg"
"1732653934-355","https://www.expat-dakar.com/appartements-a-louer?page=88","Appartement à louer
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        23. sept., 11:40
                                    
                    550 000 F Cfa
                        
                        774258790","https://www.expat-dakar.com/annonce/appartement-a-louer-6166645","Appartement à louer","3","3","200 m²","Almadies
            
                Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f5295ff389d89f6534c4bd7909c1b913/-/horizon-files-prod/ed/picture/q78wx5v8/6ae6a54abe852de17afe0c20f0fee182e3703c45.jpg"
"1732653947-356","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartement à louer au Plateau au 10ème étage
                                3 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        20. sept., 10:49
                                    
                    1 500 000 F Cfa
                        
                        772847878","https://www.expat-dakar.com/annonce/appartement-a-louer-au-plateau-au-10eme-etage-6164279","Appartement à louer au Plateau au 10ème étage","3","4","","Plateau
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/01967217966e703afcf7c56bf95867d0/-/horizon-files-prod/ed/picture/qgqwpvg0/66eb1896b0c88cabe5da18de4f1c06fb194da8ba.jpg"
"1732653953-357","https://www.expat-dakar.com/appartements-a-louer?page=87","Deux chambres à louer par mois
                                2 chambre
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        23. sept., 13:34
                                    
                    400 000 F Cfa
                        
                        772506673
                    
                        767277483
                    
                        772506673","https://www.expat-dakar.com/annonce/deux-chambres-a-louer-par-mois-6166788","Deux chambres à louer par mois","2","2","","Sicap foire
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/422476a814406863f154a7b661045e0c/-/horizon-files-prod/ed/picture/q6xdrkn4/4c09d6c4e729d52997035308498b3a19d2987012.jpg"
"1732653959-358","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartement haut de gamme à louer
                                3 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        23. sept., 14:54
                                    
                    1 800 000 F Cfa
                        
                        771820475","https://www.expat-dakar.com/annonce/appartement-haut-de-gamme-a-louer-6099065","Appartement haut de gamme à louer","3","3","","Almadies
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b5099f36a6ed5d7c2ec7bafb69a9674/-/horizon-files-prod/ed/picture/qzvp29j8/9012ef3ecd13944332af99960726fb4ca0919239.jpg"
"1732653965-359","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartement à louer au plateau
                                2 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        23. sept., 15:02
                                    
                    100 000 F Cfa
                        
                        774234360","https://www.expat-dakar.com/annonce/appartement-a-louer-au-plateau-6166660","Appartement à louer au plateau","2","2","","Plateau
            
                Dakar","100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9785cfeeaed74ca3e90084de3272aca/-/horizon-files-prod/ed/picture/qpdmn6p4/9a285dcb9726c73581d646292f1ff7848d3a4821.jpg"
"1732653971-360","https://www.expat-dakar.com/appartements-a-louer?page=87","APPARTEMENTS F3 AUX ALMADIES, DAKAR
                                2 chambre110 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        2. oct., 14:49
                                    
                    1 100 000 F Cfa
                        
                        783718100
                    
                        784780668","https://www.expat-dakar.com/annonce/appartements-f3-aux-almadies-dakar-6166835","APPARTEMENTS F3 AUX ALMADIES, DAKAR","2","2","110 m²","Almadies
            
                Dakar","1 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6773910d9e10bc24aaff01a6b73c0675/-/horizon-files-prod/ed/picture/qgqw49dr/c3ce7be9ce51235b83994e7c9b0d180f10525142.png"
"1732653977-361","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartements à louer
                                2 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        27. sept., 09:23
                                    
                    700 000 F Cfa
                        
                        776389812
                    
                        776389811
                    
                        776389813","https://www.expat-dakar.com/annonce/appartements-a-louer-6101347","Appartements à louer","2","1","","Mermoz
            
                Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ad1f06ac40bb6f0e7a2da3e523239f7b/-/horizon-files-prod/ed/picture/q0g7gpgm/4767fa49592e42ad75f319dff55ccfcd9c31df79.jpg"
"1732653983-362","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartements F4 à louer  à Ngor-Almadies
                                3 chambre
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        23. sept., 17:09
                                    
                    550 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/appartements-f4-a-louer-a-ngor-almadies-6167093","Appartements F4 à louer  à Ngor-Almadies","3","2","","Ngor
            
                Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa18876d49a604a55cc00b97549a45df/-/horizon-files-prod/ed/picture/qngp0x4w/4c89b41d02472ef91b972a463913fa358aeaa2f3.jpg"
"1732653989-363","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartement F4 de haut standing aux Almadies
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        24. sept., 10:09
                                    
                    2 000 000 F Cfa
                        
                        772251409
                    
                        760121325","https://www.expat-dakar.com/annonce/appartement-f4-de-haut-standing-aux-almadies-6042619","Appartement F4 de haut standing aux Almadies","3","3","200 m²","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b2753850ee3ae3e42470266cb4eb4a6/-/horizon-files-prod/ed/picture/q56x0vk5/af3036630437d94f57a5615dd60059df740291d7.jpg"
"1732653995-364","https://www.expat-dakar.com/appartements-a-louer?page=87","Appartement F4 à louer cité Mbackiyoufaye
                                3 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        24. sept., 11:04
                                    
                    550 000 F Cfa
                        
                        785469330","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-cite-mbackiyoufaye-6089760","Appartement F4 à louer cité Mbackiyoufaye","3","4","","Mamelles
            
                Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/09e34ce982804c17a2534295d9a1ae28/-/horizon-files-prod/ed/picture/qpd6kx60/3188befc160cafbe5ee3e969fe878cd0c5b980c7.jpg"
"1732654002-365","https://www.expat-dakar.com/appartements-a-louer?page=87","Ref_2692_SEY Immeuble R+ neuf à louer à la liberté 6
                                2 chambre
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        31. oct., 12:03
                                    
                    400 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-2692-sey-immeuble-r-neuf-a-louer-a-la-liberte-6-6167779","Ref_2692_SEY Immeuble R+ neuf à louer à la liberté 6","2","1","","Liberte 6
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/409c3eb8ca86766a3c1222463d0c0b85/-/horizon-files-prod/ed/picture/qgqw4m4k/4a4b7635dcdf23ef1e2e1134f3c000e6f04906dd.jpg"
"1732654015-366","https://www.expat-dakar.com/appartements-a-louer?page=86","Appartement a louer aux Ouest foire
                                3 chambre
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        24. sept., 11:49
                                    
                    362 600 F Cfa
                        
                        776918464
                    
                        761991772","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-ouest-foire-6167025","Appartement a louer aux Ouest foire","3","3","","Ouest foire
            
                Dakar","362 600 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ae43e6fb6fffcef9cb95a5321ef109b/-/horizon-files-prod/ed/picture/q0g78wj8/a46eea719f5d4c5277c26a4c44a873cb0931ad56.jpg"
"1732654020-367","https://www.expat-dakar.com/appartements-a-louer?page=86","Appartement F4 à louer au Point E
                                3 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        24. sept., 14:31
                                    
                    1 200 000 F Cfa
                        
                        776454715
                    
                        776454715
                    
                        778145360","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-au-point-e-6162837","Appartement F4 à louer au Point E","3","3","","Point-e
            
                Dakar","1 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f812d26ac0a29b9f94e122c1427f2b91/-/horizon-files-prod/ed/picture/qj4qpejv/e6047864b0d6f0f16c44ecc212ff07d94d76353b.jpg"
"1732654027-368","https://www.expat-dakar.com/appartements-a-louer?page=86","Superbe duplex corniche almadies
                                2 chambre150 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        24. sept., 15:46
                                    
                    1 800 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/superbe-duplex-corniche-almadies-6168120","Superbe duplex corniche almadies","2","","150 m²","Almadies
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f82a6c805d9356308557f242d9f7ffac/-/horizon-files-prod/ed/picture/qenvp9n5/f3e4878824478f6d78ce02086c8ee530fdf6f307.jpg"
"1732654033-369","https://www.expat-dakar.com/appartements-a-louer?page=86","Appartement Grand Standing  neuf à louer Point E Dakar
                                2 chambre130 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        24. sept., 15:51
                                    
                    1 500 000 F Cfa
                        
                        776576626
                    
                        772317210
                    
                        779242728","https://www.expat-dakar.com/annonce/appartement-grand-standing-neuf-a-louer-point-e-dakar-6166350","Appartement Grand Standing  neuf à louer Point E Dakar","2","4","130 m²","Point-e
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecfd5eecaec079e301f601309732badd/-/horizon-files-prod/ed/picture/qwepnzk0/0589bac83595ed1d54edd36d1122944fd5c7ca82.jpg"
"1732654039-370","https://www.expat-dakar.com/appartements-a-louer?page=86","Appartement F4 à louer aux mamelles
                                3 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        24. sept., 15:52
                                    
                    2 200 000 F Cfa
                        
                        776454715
                    
                        776454715
                    
                        778145360","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-aux-mamelles-6168056","Appartement F4 à louer aux mamelles","3","4","","Mamelles
            
                Dakar","2 200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a78eb789273023f3c6c1bca477c97688/-/horizon-files-prod/ed/picture/qm5gv0zg/93c7cf6567b685f2c9982e7575aac2d08519d8e7.jpg"
"1732654045-371","https://www.expat-dakar.com/appartements-a-louer?page=86","Plateau de bureaux au Point E
                                3 chambre200 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        25. sept., 02:44
                                    
                    1 000 000 F Cfa
                        
                        781510606
                    
                        763719494","https://www.expat-dakar.com/annonce/plateau-de-bureaux-au-point-e-6168412","Plateau de bureaux au Point E","3","","200 m²","Point-e
            
                Dakar","1 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9467ec06f5172cdd7e49e8a7e73faa4a/-/horizon-files-prod/ed/picture/qm5gv6qj/c79fec781a1df1274add2c9e3e29801748fc1b9e.jpg"
"1732654051-372","https://www.expat-dakar.com/appartements-a-louer?page=86","APPARTEMENTS NEUFS A LOUER
                                2 chambre100 m²
                                                                                    Cambérène,
                                                                                Dakar
                                    
                                        25. sept., 12:00
                                    
                    200 000 F Cfa
                        
                        776576626
                    
                        772317210
                    
                        779242728","https://www.expat-dakar.com/annonce/appartements-neufs-a-louer-6168811","APPARTEMENTS NEUFS A LOUER","2","2","100 m²","Cambérène
            
                Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/063ceb30deaaec1151c115a03c1782da/-/horizon-files-prod/ed/picture/qxjpwwxz/a86b10623e74f94cc91b0f19902e5b7f98ef15de.jpg"
"1732654057-373","https://www.expat-dakar.com/appartements-a-louer?page=86","Appartement  à louer au Point E rés de chaussée
                                3 chambre
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        25. sept., 13:18
                                    
                    550 000 F Cfa
                        
                        774823430
                    
                        776548731
                    
                        774836846","https://www.expat-dakar.com/annonce/appartement-a-louer-au-point-e-res-de-chaussee-6156696","Appartement  à louer au Point E rés de chaussée","3","2","","Point-e
            
                Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/64d667a1a0eb5262768f35fcb2ab8da8/-/horizon-files-prod/ed/picture/q8v4p4g6/35b5c4bcbb5e2f083a2fb4c6c563c689a9587982.jpg"
"1732654063-374","https://www.expat-dakar.com/appartements-a-louer?page=86","Ref_2693_JN Appartement  F3 à louer aux Almadies
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        25. sept., 13:59
                                    
                    400 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-2693-jn-appartement-f3-a-louer-aux-almadies-6167794","Ref_2693_JN Appartement  F3 à louer aux Almadies","2","2","","Almadies
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c620784dd764af8c5fd128d990f073dc/-/horizon-files-prod/ed/picture/qwepnrkg/ca98b2158ee33402c211129e10abc5a4439e3db5.jpg"
"1732654069-375","https://www.expat-dakar.com/appartements-a-louer?page=86","Appartement à louer à la cité keur gorgui
                                2 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        25. sept., 15:45
                                    
                    450 000 F Cfa
                        
                        779263939","https://www.expat-dakar.com/annonce/appartement-a-louer-a-la-cite-keur-gorgui-6169050","Appartement à louer à la cité keur gorgui","2","","","Cité keur gorgui
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7412a2d6f086a801bae7323c0dae53bd/-/horizon-files-prod/ed/picture/qwepnnqk/3d9d83ee2405e39bbd0357b625ff6359f928c43c.jpg"
"1732654081-376","https://www.expat-dakar.com/appartements-a-louer?page=85","Appartement NGOR ALMADIES derrière chez katia cité socabeg
                                3 chambre175 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        25. sept., 16:06
                                    
                    500 000 F Cfa
                        
                        781144342
                    
                        781144342","https://www.expat-dakar.com/annonce/appartement-ngor-almadies-derriere-chez-katia-cite-socabeg-6138410","Appartement NGOR ALMADIES derrière chez katia cité socabeg","3","3","175 m²","Almadies
            
                Dakar","500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc5c3540865742b524cde6a815250f3a/-/horizon-files-prod/ed/picture/qrz885mm/27b3c623da70bf75d3af832f9ba16ec73a84c3a0.jpg"
"1732654087-377","https://www.expat-dakar.com/appartements-a-louer?page=85","Penthouse de haut standing à louer aux Mamelles
                                3 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        25. sept., 16:18
                                    
                    1 099 999 F Cfa
                        
                        779691111","https://www.expat-dakar.com/annonce/penthouse-de-haut-standing-a-louer-aux-mamelles-6169056","Penthouse de haut standing à louer aux Mamelles","3","4","","Mamelles
            
                Dakar","1 099 999 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e38b20b051542983db2bf1efc1faa2d/-/horizon-files-prod/ed/picture/qm5gvv8q/b1667e2a98e787f3c24fd53ccedb9a52f45dd3f0.jpg"
"1732654094-378","https://www.expat-dakar.com/appartements-a-louer?page=85","Superbe appartement en bord de mer à Mermoz
                                3 chambre250 m²
                                                                                    Fenêtre mermoz,
                                                                                Dakar
                                    
                                        25. sept., 17:06
                                    
                    3 000 000 F Cfa
                        
                        776539816","https://www.expat-dakar.com/annonce/superbe-appartement-en-bord-de-mer-a-mermoz-6079312","Superbe appartement en bord de mer à Mermoz","3","3","250 m²","Fenêtre mermoz
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc4731aa4cc399d03565b035f4af5492/-/horizon-files-prod/ed/picture/qm5pzz9j/4d6b6ddcfb29b6a41ea9362bb51c5084ca22a02d.jpg"
"1732654100-379","https://www.expat-dakar.com/appartements-a-louer?page=85","F4 à la cité Mourtada
                                3 chambre
                                                                                    VDN,
                                                                                Dakar
                                    
                                        25. sept., 21:19
                                    
                    450 000 F Cfa
                        
                        775390606
                    
                        705840052","https://www.expat-dakar.com/annonce/f4-a-la-cite-mourtada-6169276","F4 à la cité Mourtada","3","","","VDN
            
                Dakar","450 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/39005e8977b06c49ba8d16f2d37a183a/-/horizon-files-prod/ed/picture/qrz86j7m/840d77e8f69e580a6254d1c1d899ce88174ef224.jpg"
"1732654106-380","https://www.expat-dakar.com/appartements-a-louer?page=85","Appartement à louer aux almadies
                                3 chambre236 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        26. sept., 09:22
                                    
                    1 500 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6169244","Appartement à louer aux almadies","3","4","236 m²","Point-e
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2573bec985aa9cf79aa3d552a00fd6fb/-/horizon-files-prod/ed/picture/q6xdrvvd/6a7ac68965dfb3f0cafa79f61449e21921ffc3b2.jpg"
"1732654111-381","https://www.expat-dakar.com/appartements-a-louer?page=85","Appartement à louer aux almadies
                                3 chambre280 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        10. nov., 15:18
                                    
                    900 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6169228","Appartement à louer aux almadies","3","4","280 m²","Almadies
            
                Dakar","900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdaeeeca43abfd49cf7cec833b2d76e9/-/horizon-files-prod/ed/picture/qwepnknj/5f1a11b61f4f2979f18eb498ee166eacd18e4f35.jpg"
"1732654117-382","https://www.expat-dakar.com/appartements-a-louer?page=85","Appartement à louer aux almadies
                                3 chambre200 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        5. nov., 12:14
                                    
                    800 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-aux-almadies-6168954","Appartement à louer aux almadies","3","3","200 m²","Almadies
            
                Dakar","800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2054bf3c29e6c22bf7f2bd91a7ea884/-/horizon-files-prod/ed/picture/qrz866e2/993555c939b8329fd11fa08f5210e7b6eb43f3a0.jpg"
"1732654124-383","https://www.expat-dakar.com/appartements-a-louer?page=85","Penthous a louer aux virages
                                5 chambre290 m²
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        26. sept., 08:26
                                    
                    2 000 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/penthous-a-louer-aux-virages-6169260","Penthous a louer aux virages","5","6","290 m²","Ngor
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/655dce86d51cc6e0165ef79e10173bc9/-/horizon-files-prod/ed/picture/qpdmnjjx/5fad1616f4dd8e933595cea1a76a67cf92ac367d.jpg"
"1732654130-384","https://www.expat-dakar.com/appartements-a-louer?page=85","Magnifique duplex neuf aux almadies
                                2 chambre150 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        26. sept., 09:53
                                    
                    1 800 000 F Cfa
                        
                        776539816","https://www.expat-dakar.com/annonce/magnifique-duplex-neuf-aux-almadies-6169649","Magnifique duplex neuf aux almadies","2","2","150 m²","Almadies
            
                Dakar","1 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d30ca14f9878253d7c4a739f7b7b283b/-/horizon-files-prod/ed/picture/qngp0wpk/237545a1d16d544cead3110cea40404168c83835.jpg"
"1732654136-385","https://www.expat-dakar.com/appartements-a-louer?page=85","APPARTEMENT MEUBLÉ MERMOZ
                                3 chambre
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        24. oct., 12:27
                                    
                    1 500 000 F Cfa
                        
                        774658553","https://www.expat-dakar.com/annonce/appartement-meuble-mermoz-6169724","APPARTEMENT MEUBLÉ MERMOZ","3","3","","Mermoz
            
                Dakar","1 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/25a27e525b9d19fc2280002cbe71dc6e/-/horizon-files-prod/ed/picture/qv4w9zkm/ede9343a70e84b2e18897f8f4407562a31f60670.png"
"1732654149-386","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement haut standing a louer
                                3 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        26. sept., 12:28
                                    
                    50 000 F Cfa
                        
                        768754097
                    
                        786579399","https://www.expat-dakar.com/annonce/appartement-haut-standing-a-louer-6046558","Appartement haut standing a louer","3","3","","Cité keur gorgui
            
                Dakar","50 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff381e00d1ee52b0e0a7258f63f7c2c8/-/horizon-files-prod/ed/picture/qkrgej4v/f5845d0c8fdae68d964798cf58fcf5ae8e694d84.jpg"
"1732654155-387","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement f4 à louer à sacré coeur Vdn
                                3 chambre165 m²
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        26. sept., 13:10
                                    
                    520 000 F Cfa
                        
                        782959494","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-a-sacre-coeur-vdn-6166538","Appartement f4 à louer à sacré coeur Vdn","3","","165 m²","Sicap Sacré-cœur
            
                Dakar","520 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9de496d0d7c2dad93161538cf5ee066e/-/horizon-files-prod/ed/picture/qpdmnwem/25b7940122ff35f915c14baa7750b85d538cbd5f.jpg"
"1732654161-388","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement f4 à louer sur la Vdn
                                3 chambre160 m²
                                                                                    VDN,
                                                                                Dakar
                                    
                                        26. sept., 13:14
                                    
                    425 000 F Cfa
                        
                        782959494","https://www.expat-dakar.com/annonce/appartement-f4-a-louer-sur-la-vdn-6120621","Appartement f4 à louer sur la Vdn","3","2","160 m²","VDN
            
                Dakar","425 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ab9a16e1d7cc03c6a9c8930fd9ac47f/-/horizon-files-prod/ed/picture/qzvp497v/2e463e63343eb095b56c253c2fdaa249b4dfef07.jpg"
"1732654166-389","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement Rez de chaussée
                                3 chambre200 m²
                                                                                    Rufisque,
                                                                                Dakar
                                    
                                        26. sept., 13:24
                                    
                    150 000 F Cfa
                        
                        777984596","https://www.expat-dakar.com/annonce/appartement-rez-de-chaussee-6141463","Appartement Rez de chaussée","3","1","200 m²","Rufisque
            
                Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fbfdb34f30ab818333b4454ca6553ec2/-/horizon-files-prod/ed/picture/q56ddk7g/4808c25bb39cce4793ca4ba1d8ab59038b59ce20.jpg"
"1732654173-390","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement 4 chambres à louer au almadies
                                4 chambre314 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        8. nov., 15:17
                                    
                    3 000 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-4-chambres-a-louer-au-almadies-6169921","Appartement 4 chambres à louer au almadies","4","6","314 m²","Almadies
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/18967fa5f71e2266899724663a9abb3a/-/horizon-files-prod/ed/picture/qzvprx0g/0cc648cf68e5b89017bb2de410b3c19e416430c8.jpg"
"1732654179-391","https://www.expat-dakar.com/appartements-a-louer?page=84","Corniche fan résidence 4 chambres salon
                                4 chambre340 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        7. nov., 22:13
                                    
                    3 000 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/corniche-fan-residence-4-chambres-salon-6169950","Corniche fan résidence 4 chambres salon","4","6","340 m²","Fann
            
                Dakar","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/35122cb919e03a7b9ade9abc6056c291/-/horizon-files-prod/ed/picture/qwepnw4g/b749a7d24cf9e675ec4dd1bc7ef7d8bd64883ded.jpg"
"1732654185-392","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement à louer à onomo
                                3 chambre200 m²
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        26. sept., 14:56
                                    
                    700 000 F Cfa
                        
                        788290729
                    
                        788290729","https://www.expat-dakar.com/annonce/appartement-a-louer-a-onomo-6169994","Appartement à louer à onomo","3","4","200 m²","Ngor
            
                Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f9486b023236bec5bede62246a45734/-/horizon-files-prod/ed/picture/qwepnwdg/652d6dae1daa1f63e3346e26eb5c6cf20648e382.jpg"
"1732654191-393","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement à louer 4 chambres aux Almadies
                                4 chambre320 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        26. sept., 15:19
                                    
                    2 000 000 F Cfa
                        
                        773121354","https://www.expat-dakar.com/annonce/appartement-a-louer-4-chambres-aux-almadies-6145870","Appartement à louer 4 chambres aux Almadies","4","5","320 m²","Almadies
            
                Dakar","2 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7968523693cbc7e3cf570a5146ddc6e6/-/horizon-files-prod/ed/picture/q9mjkjmv/6331a5b7d02a014c8014d87a86fb172addea7b7c.jpg"
"1732654197-394","https://www.expat-dakar.com/appartements-a-louer?page=84","Appartement F3 à louer ALMADIES recasement
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        26. sept., 16:15
                                    
                    400 000 F Cfa
                        
                        773418470","https://www.expat-dakar.com/annonce/appartement-f3-a-louer-almadies-recasement-6169947","Appartement F3 à louer ALMADIES recasement","2","","","Almadies
            
                Dakar","400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d754e59fd0d802e2e6ab97da93e96d53/-/horizon-files-prod/ed/picture/q0g78drw/fc868e3b64287d611cbcef68e3154a1d9de25434.jpg"
